fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 191755	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2974	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0209381155122236	0.500288717850467	443	101	11613	62951704.6476762	68
20240512 192111	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	357	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0201256711610941	0.501182295919407	467	101	11438	62563781.1094453	69
20240512 193241	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2974	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0209381155122236	0.500288717850467	443	101	11613	62951644.6776612	70
20240512 194413	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2974	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0209381155122236	0.500288717850467	443	101	11613	62950265.3673163	71
20240512 194710	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	274	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0208361792497293	0.504996588242846	453	100	10573	62049095.952024	72
20240512 195017	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	338	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0203219289302328	0.501188393998555	441	105	11866	62780770.6146927	73
20240512 195323	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	338	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0203219289302328	0.501188393998555	441	105	11866	62780770.6146927	74
20240512 195829	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1176	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0439382998922214	0.511481713654967	342	101	12598	61814275.862069	75
20240512 200110	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	180	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0203693959851553	0.503158466680794	472	109	11089	61759686.6566717	76
20240512 200517	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0202881271909044	0.549397690843737	445	109	10849	61699416.7916042	77
20240512 200955	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0202881271909044	0.549397690843737	445	109	10849	61699416.7916042	78
20240512 201919	332	457647	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1324	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100007	0.0203191050226481	0.837835801956839	1249	102	11564	62439274.3628186	79
